"model","elpd_diff","se_diff","p_worse","diag_diff","diag_elpd","elpd_loo","se_elpd_loo","p_loo","se_p_loo","looic","se_looic","waic"
"base",0,0,NA,"","",-197.791554816235,11.314464467088,16.6024474123211,3.90859286272504,395.58310963247,22.628928934176,396.010467212484
"latent_pred",-29.6206118401195,8.12691876355986,0.999866175654903,"N < 100","",-227.412166656355,14.2477591427926,5.74325298498541,2.00171511702836,454.824333312709,28.4955182855852,454.906656660342
"latent",-33.3823064439379,8.38969399315396,0.999965392169083,"N < 100","3 k_psis > 0.67",-231.173861260173,17.7271602235221,19.5662115882391,7.18998275198577,462.347722520346,35.4543204470442,461.390467502147
